time,x_sp,xpos_
0.505365,0.874998,-1.38555
0.506342,0.874524,-1.38555
0.507441,0.873991,-1.38555
0.508402,0.873524,-1.38555
0.509497,0.87299,-1.38555
0.510374,0.872562,-1.38555
0.511452,0.872035,-1.38555
0.512342,0.871599,-1.38555
0.513348,0.871105,-1.38555
0.514334,0.87062,-1.38555
0.515415,0.870088,-1.38555
0.516335,0.869634,-1.38555
0.517371,0.869123,-1.38
0.518372,0.868627,-1.38
0.51956,0.868038,-1.38
0.520493,0.867574,-1.38
0.521357,0.867144,-1.38
0.522347,0.866651,-1.38
0.523344,0.866153,-1.38
0.524385,0.865632,-1.38
0.525334,0.865156,-1.37639
0.52633,0.864657,-1.37639
0.527549,0.864044,-1.37639
0.528339,0.863645,-1.37639
0.529339,0.863141,-1.37639
0.530331,0.86264,-1.37639
0.531368,0.862115,-1.37639
0.53234,0.861622,-1.37639
0.53333,0.861119,-1.37639
0.534479,0.860534,-1.37639
0.535367,0.860082,-1.37639
0.536418,0.859545,-1.37639
0.537369,0.859058,-1.37073
0.538343,0.85856,-1.37073
0.539332,0.858052,-1.37073
0.540333,0.857537,-1.37073
0.541364,0.857007,-1.37073
0.542331,0.856508,-1.37073
0.543343,0.855985,-1.37073
0.544378,0.85545,-1.37073
0.545353,0.854944,-1.36715
0.546347,0.854428,-1.36715
0.547341,0.853912,-1.36715
0.548604,0.853254,-1.36715
0.549344,0.852867,-1.36715
0.550342,0.852346,-1.36715
0.551339,0.851824,-1.36715
0.552351,0.851293,-1.36715
0.553436,0.850724,-1.36715
0.554367,0.850234,-1.36715
0.555343,0.84972,-1.36715
0.556337,0.849195,-1.36715
0.557332,0.848669,-1.36106
0.558373,0.848118,-1.36106
0.559361,0.847595,-1.36106
0.56037,0.847059,-1.36106
0.561339,0.846543,-1.36106
0.56236,0.845999,-1.36106
0.563395,0.845447,-1.36106
0.564397,0.844912,-1.36106
0.565333,0.84441,-1.35717
0.566336,0.843873,-1.35717
0.567333,0.843337,-1.35717
0.568384,0.842772,-1.35717
0.569397,0.842226,-1.35717
0.570406,0.841682,-1.35717
0.571344,0.841175,-1.35717
0.572331,0.840641,-1.35717
0.573334,0.840097,-1.35717
0.574385,0.839527,-1.35717
0.575399,0.838975,-1.35717
0.576413,0.838423,-1.35717
0.577372,0.8379,-1.35066
0.578353,0.837364,-1.35066
0.57944,0.836769,-1.35066
0.580417,0.836234,-1.35066
0.581342,0.835727,-1.35066
0.582342,0.835177,-1.35066
0.583342,0.834627,-1.35066
0.584437,0.834023,-1.35066
0.58535,0.833519,-1.34683
0.586487,0.83289,-1.34683
0.587465,0.832348,-1.34683
0.588423,0.831817,-1.34683
0.589345,0.831305,-1.34683
0.590363,0.830739,-1.34683
0.591413,0.830154,-1.34683
0.592368,0.829621,-1.34683
0.593378,0.829057,-1.34683
0.59434,0.828518,-1.34683
0.595493,0.827872,-1.34683
0.596387,0.82737,-1.34683
0.597406,0.826797,-1.34028
0.598355,0.826263,-1.34028
0.599331,0.825713,-1.34028
